"Server_IP","Client_IP","Server_port","Client_port"
"131.243.1.10","114.201.61.120","1241","21"
"131.243.1.10","157.198.151.233","3519","21"
"131.243.1.10","114.201.61.120","1241","21"
"131.243.1.10","114.201.61.120","1241","21"
"131.243.1.10","114.201.61.120","1246","21"
"131.243.1.10","114.201.61.120","1246","21"
"131.243.1.10","114.201.61.120","1246","21"
"131.243.1.10","114.201.61.120","1246","21"
"131.243.1.10","114.201.61.120","1246","21"
"131.243.2.12","79.37.53.67","34161","21"
"131.243.1.10","114.201.61.120","1246","21"
"131.243.1.10","114.201.61.120","1246","21"
"203.174.5.11","79.37.53.67","34881","21"
"131.243.1.10","66.224.210.96","64460","21"
"131.243.1.10","66.224.210.96","64460","21"
"131.243.1.10","66.224.210.96","64460","21"
"131.243.1.10","66.224.210.96","64460","21"
"131.243.1.10","66.224.210.96","64460","21"
"131.243.1.10","66.224.210.96","64460","21"
"131.243.1.10","66.224.210.96","65272","21"
"131.243.1.10","66.224.210.96","65272","21"
"131.243.1.10","66.224.210.96","65272","21"
"131.243.1.10","66.224.210.96","65272","21"
"131.243.1.10","66.224.210.96","65272","21"
"131.243.1.10","66.224.210.96","65272","21"
"131.243.1.10","24.190.46.234","36078","21"
"131.243.1.10","24.190.46.234","36078","21"
"131.243.1.10","24.190.46.234","36078","21"
"131.243.1.10","24.190.46.234","36078","21"
"131.243.1.10","24.190.46.234","36078","21"
"203.174.5.11","79.37.53.67","32149","21"
"131.243.1.10","62.87.148.206","54275","21"
"131.243.1.10","62.87.148.206","54275","21"
"131.243.1.10","62.87.148.206","54275","21"
"131.243.1.10","62.87.148.206","54275","21"
"131.243.1.10","62.87.148.206","54275","21"
"131.243.1.10","62.87.148.206","54275","21"
"131.243.1.10","62.87.148.206","54275","21"
"131.243.1.10","62.87.148.206","54275","21"
"131.243.1.10","62.87.148.206","54275","21"
"131.243.1.10","62.87.148.206","54275","21"
"131.243.1.10","62.87.148.206","54275","21"
"131.243.1.10","62.87.148.206","54275","21"
"131.243.1.10","62.87.148.206","54275","21"
"131.243.1.10","62.87.148.206","54275","21"
"131.243.1.10","62.87.148.206","54275","21"
"131.243.1.10","62.87.148.206","54275","21"
"131.243.1.10","62.87.148.206","54275","21"
"131.243.1.10","62.87.148.206","54275","21"
"131.243.1.10","62.87.148.206","54275","21"
"131.243.1.10","62.87.148.206","54275","21"
"131.243.1.10","62.87.148.206","54275","21"
"131.243.1.10","62.87.148.206","54275","21"
"131.243.1.10","62.87.148.206","54275","21"
