"Client IP",Server IP",Data Sent","Data Recieved"
"38.5.158.54","131.243.2.12","9860","2976"
"38.67.154.111","131.243.1.10","1045","4285"
"38.93.253.216","131.243.2.12","63449","2908"
"38.93.253.216","203.174.5.11","49717","1202"
"39.77.78.12","131.243.1.10","1470","5051"
"4.0.203.124","203.174.5.11","170","338"
"4.153.126.156","131.243.1.10","1183","4408"
"4.251.189.14","131.243.1.10","1950","5902"
"4.85.215.32","131.243.1.10","3155","8116"
"40.226.158.89","131.243.1.10","1032","4285"
"40.86.60.56","131.243.1.10","1102","4619"
"42.108.8.116","131.243.1.10","937","4284"
"42.244.132.196","131.243.1.10","1155","4623"
"42.30.77.233","131.243.2.12","17468","2478"
"43.27.105.111","128.3.28.48","1466","1472"
"43.75.228.116","102.174.154.179","260","345"
"43.75.228.116","109.155.185.241","182","143"
"43.75.228.116","109.160.54.58","260","345"
"43.75.228.116","110.102.141.8","404","778"
"43.75.228.116","112.39.191.196","290","251"
"43.75.228.116","116.77.54.137","290","591"
"43.75.228.116","123.47.104.102","290","282"
"43.75.228.116","130.130.170.151","290","264"
"43.75.228.116","132.29.3.242","290","251"
"43.75.228.116","136.107.80.219","290","243"
"43.75.228.116","136.145.76.48","326","423"
"43.75.228.116","141.35.20.31","290","251"
"43.75.228.116","144.194.14.127","290","251"
"43.75.228.116","144.33.252.32","290","251"
"43.75.228.116","15.86.165.129","290","251"
"43.75.228.116","152.167.224.72","290","282"
"43.75.228.116","158.242.10.247","290","282"
"43.75.228.116","159.214.205.138","338","631"
"43.75.228.116","165.67.66.171","290","284"
"43.75.228.116","167.156.78.67","290","243"
"43.75.228.116","170.191.102.145","290","338"
"43.75.228.116","177.227.64.76","823","1076"
"43.75.228.116","180.129.236.17","290","243"
"43.75.228.116","183.135.245.193","290","284"
"43.75.228.116","185.82.2.57","260","289"
"43.75.228.116","19.135.35.121","272","823"
"43.75.228.116","192.181.235.123","338","733"
"43.75.228.116","192.29.156.233","290","251"
"43.75.228.116","195.199.77.113","182","282"
"43.75.228.116","198.111.78.1","326","411"
"43.75.228.116","201.218.43.164","338","631"
"43.75.228.116","202.50.227.97","290","284"
"43.75.228.116","206.212.29.97","290","208"
"43.75.228.116","210.13.53.158","338","322"
"43.75.228.116","210.140.212.56","236","282"
"43.75.228.116","210.224.58.215","260","345"
"43.75.228.116","211.173.107.36","290","251"
"43.75.228.116","215.148.154.156","338","364"
"43.75.228.116","219.140.63.234","338","331"
"43.75.228.116","228.136.177.100","182","338"
"43.75.228.116","235.115.84.156","290","251"
"43.75.228.116","239.93.181.34","290","284"
"43.75.228.116","25.136.123.20","260","289"
"43.75.228.116","25.196.16.54","338","368"
"43.75.228.116","27.48.173.101","290","282"
"43.75.228.116","29.135.233.80","290","645"
"43.75.228.116","4.85.135.178","290","351"
"43.75.228.116","43.250.64.171","290","251"
"43.75.228.116","44.76.136.98","326","411"
"43.75.228.116","46.2.233.214","290","591"
"43.75.228.116","47.128.126.114","272","368"
"43.75.228.116","48.248.244.161","290","284"
"43.75.228.116","51.208.235.171","290","282"
"43.75.228.116","70.57.181.244","290","243"
"43.75.228.116","77.191.167.203","182","243"
"43.75.228.116","8.0.48.14","338","322"
"43.75.228.116","8.181.179.18","290","251"
"44.112.60.19","131.243.1.10","660","3016"
"44.120.49.173","109.103.64.27","729","1301"
"44.120.49.173","123.47.104.102","729","1193"
"44.120.49.173","189.246.241.212","658","703"
"44.120.49.173","4.18.95.135","220","156"
"44.120.49.173","44.76.136.98","344","449"
"44.120.49.173","48.248.244.161","675","1028"
"44.120.49.173","62.159.77.154","658","748"
"44.30.187.72","131.243.1.10","1326","4357"
"45.7.36.127","131.243.2.12","10447","2478"
"45.93.33.36","128.3.12.44","1433","2311"
"47.125.91.135","131.243.2.12","4637","4484"
"47.190.32.70","131.243.2.12","17406","2308"
"47.79.170.139","131.243.2.12","12331","2228"
"47.79.170.139","203.174.5.11","11575","600"
"48.158.170.254","131.243.1.10","1522","5199"
"48.191.139.130","131.243.1.10","5907","9856"
"48.82.133.230","131.243.1.10","3636","9582"
"49.103.49.196","131.243.1.10","1179","4349"
"49.28.205.110","131.243.1.10","859","3849"
"49.50.98.246","131.243.1.10","1129","4617"
"5.20.102.84","131.243.2.12","51820","2648"
"5.73.72.237","131.243.1.10","872","3953"
"50.30.251.243","131.243.1.10","5528","12232"
"51.124.71.132","131.243.1.10","1426","5094"
"51.96.80.84","131.243.1.10","834","3795"
"52.22.252.60","131.243.1.10","2358","6020"
"52.23.39.95","131.243.2.12","73723","3274"
"53.199.193.137","242.70.74.100","1794","1587"
"53.209.26.78","131.243.1.10","807","3934"
"53.231.143.122","131.243.1.10","821","4034"
"53.67.96.225","131.243.1.10","908","3974"
"54.0.153.144","131.243.1.10","795","3946"
"54.231.248.204","131.243.1.10","1134","4040"
"54.58.5.5","131.243.1.10","1560","4877"
"55.101.48.221","131.243.1.10","1200","4503"
"55.68.153.64","128.3.12.44","224","335"
"55.84.210.42","131.243.1.10","785","4019"
"56.189.64.222","131.243.1.10","861","3832"
"57.131.75.201","131.243.1.10","1011","4292"
"57.84.88.52","131.243.1.10","2911","6777"
"57.84.88.52","131.243.1.83","1627","5051"
"58.255.243.65","131.243.1.10","1728","5776"
"59.143.84.169","131.243.2.12","24169","2478"
"59.143.84.169","203.174.5.11","49987","1121"
"59.241.80.53","86.110.60.6","968","1350"
"59.30.70.208","128.3.28.48","1275","1426"
"59.59.218.28","131.243.1.10","1110","4242"
"60.172.197.12","131.243.1.10","1343","4623"
"60.18.19.57","131.243.1.10","1113","4290"
"60.36.91.126","131.243.2.12","69511","3274"
"61.157.171.227","131.243.1.10","939","4347"
"61.166.90.124","86.110.60.6","1524","1743"
"61.37.132.17","93.154.168.114","575","862"
"61.6.212.48","128.3.12.44","1888","2559"
"62.234.192.220","131.243.1.10","1306","4374"
"62.40.240.133","131.243.1.10","1118","4856"
"63.158.224.139","131.243.1.10","2288","5911"
